fecha,ICA,municipio,modelo,tipo,RMSE,MAE,MSE,ICA_real,ICA_7
2025-01-13,93,ALCORCÓN,prophet_30,real,11.0,5,22,93,93.0
2025-01-14,79,ALCORCÓN,prophet_30,real,11.0,9,85,79,79.0
2025-01-15,89,ALCORCÓN,prophet_30,real,11.0,10,97,89,89.0
2025-01-16,92,ALCORCÓN,prophet_30,real,11.0,16,256,92,92.0
2025-01-17,50,ALCORCÓN,prophet_30,real,11.0,7,48,50,50.0
2025-01-18,82,ALCORCÓN,prophet_30,real,11.0,4,15,82,82.0
2025-01-19,86,ALCORCÓN,prophet_30,real,11.0,4,18,86,86.0
2025-01-20,57,ALCORCÓN,prophet_30,real,11.0,7,54,57,57.0
2025-01-21,42,ALCORCÓN,prophet_30,real,11.0,9,76,42,42.0
2025-01-22,31,ALCORCÓN,prophet_30,real,11.0,10,98,31,31.0
2025-01-23,42,ALCORCÓN,prophet_30,real,11.0,9,76,42,42.0
2025-01-24,51,ALCORCÓN,prophet_30,real,11.0,3,7,51,51.0
2025-01-25,28,ALCORCÓN,prophet_30,real,11.0,12,152,28,28.0
2025-01-26,39,ALCORCÓN,prophet_30,real,11.0,4,18,39,39.0
2025-01-27,32,ALCORCÓN,prophet_30,real,11.0,6,39,32,32.0
2025-01-28,51,ALCORCÓN,prophet_30,real,11.0,11,131,51,51.0
2025-01-29,47,ALCORCÓN,prophet_30,real,11.0,4,20,47,47.0
2025-01-30,42,ALCORCÓN,prophet_30,real,11.0,5,30,42,42.0
2025-01-31,57,ALCORCÓN,prophet_30,real,11.0,9,85,57,57.0
2025-02-01,85,ALCORCÓN,prophet_30,real,11.0,15,221,85,85.0
2025-02-02,50,ALCORCÓN,prophet_30,real,11.0,3,9,50,50.0
2025-02-03,75,ALCORCÓN,prophet_30,real,11.0,12,149,75,75.0
2025-02-04,69,ALCORCÓN,prophet_30,real,11.0,4,14,69,69.0
2025-02-05,79,ALCORCÓN,prophet_30,real,11.0,5,24,79,79.0
2025-02-06,85,ALCORCÓN,prophet_30,real,11.0,8,57,85,85.0
2025-02-07,78,ALCORCÓN,prophet_30,real,11.0,14,203,78,78.0
2025-02-08,78,ALCORCÓN,prophet_30,real,11.0,15,234,78,78.0
2025-02-09,69,ALCORCÓN,prophet_30,real,11.0,3,7,69,69.0
2025-02-10,80,ALCORCÓN,prophet_30,real,11.0,10,93,80,80.0
2025-02-11,69,ALCORCÓN,prophet_30,real,11.0,2,5,69,69.0
2025-02-12,42,ALCORCÓN,prophet_30,real,11.0,12,133,42,42.0
2025-02-13,82,ALCORCÓN,prophet_30,real,11.0,7,51,82,82.0
2025-02-14,77,ALCORCÓN,prophet_30,real,11.0,2,6,77,77.0
2025-02-15,82,ALCORCÓN,prophet_30,real,11.0,4,16,82,82.0
2025-02-16,51,ALCORCÓN,prophet_30,real,11.0,7,51,51,51.0
2025-02-17,76,ALCORCÓN,prophet_30,real,11.0,11,125,76,76.0
2025-02-18,84,ALCORCÓN,prophet_30,real,11.0,6,30,84,84.0
2025-02-19,76,ALCORCÓN,prophet_30,real,11.0,0,0,76,76.0
2025-02-20,50,ALCORCÓN,prophet_30,real,11.0,15,216,50,50.0
2025-02-21,77,ALCORCÓN,prophet_30,real,11.0,8,61,77,77.0
2025-02-22,36,ALCORCÓN,prophet_30,real,11.0,13,161,36,36.0
2025-02-23,42,ALCORCÓN,prophet_30,real,11.0,6,35,42,42.0
2025-02-24,76,ALCORCÓN,prophet_30,real,11.0,13,168,76,76.0
2025-02-25,78,ALCORCÓN,prophet_30,real,11.0,22,471,78,78.0
2025-02-26,52,ALCORCÓN,prophet_30,real,11.0,9,89,52,52.0
2025-02-27,50,ALCORCÓN,prophet_30,real,11.0,15,218,50,50.0
2025-02-28,47,ALCORCÓN,prophet_30,real,11.0,10,106,47,47.0
2025-03-01,68,ALCORCÓN,prophet_30,predicción,13.0,13,169,55,62.0
2025-03-02,62,ALCORCÓN,prophet_30,predicción,10.0,10,100,52,59.0
2025-03-03,64,ALCORCÓN,prophet_30,predicción,26.0,26,676,38,60.0
2025-03-04,63,ALCORCÓN,prophet_30,predicción,16.0,16,256,47,66.0
2025-03-05,64,ALCORCÓN,prophet_30,predicción,22.0,22,484,42,62.0
2025-03-06,59,ALCORCÓN,prophet_30,predicción,15.0,15,225,44,66.0
2025-03-07,62,ALCORCÓN,prophet_30,predicción,6.0,6,36,56,57.0
2025-03-08,65,ALCORCÓN,prophet_30,predicción,9.0,9,81,74,
2025-03-09,63,ALCORCÓN,prophet_30,predicción,7.0,7,49,70,
2025-03-10,66,ALCORCÓN,prophet_30,predicción,5.0,5,25,61,
2025-03-11,50,ALCORCÓN,prophet_30,predicción,11.0,11,121,61,
2025-03-12,59,ALCORCÓN,prophet_30,predicción,3.0,3,9,56,
2025-03-13,56,ALCORCÓN,prophet_30,predicción,5.0,5,25,51,
2025-03-14,58,ALCORCÓN,prophet_30,predicción,8.0,8,64,66,
2025-03-15,63,ALCORCÓN,prophet_30,predicción,7.0,7,49,56,
2025-03-16,59,ALCORCÓN,prophet_30,predicción,7.0,7,49,66,
2025-03-17,60,ALCORCÓN,prophet_30,predicción,20.0,20,400,40,
2025-03-18,60,ALCORCÓN,prophet_30,predicción,9.0,9,81,51,
2025-03-19,70,ALCORCÓN,prophet_30,predicción,6.0,6,36,64,
2025-03-20,57,ALCORCÓN,prophet_30,predicción,18.0,18,324,75,
2025-03-21,63,ALCORCÓN,prophet_30,predicción,13.0,13,169,76,
2025-03-22,62,ALCORCÓN,prophet_30,predicción,11.0,11,121,73,
2025-03-23,59,ALCORCÓN,prophet_30,predicción,10.0,10,100,69,
2025-03-24,61,ALCORCÓN,prophet_30,predicción,7.0,7,49,68,
2025-03-25,57,ALCORCÓN,prophet_30,predicción,3.0,3,9,54,
2025-03-26,67,ALCORCÓN,prophet_30,predicción,11.0,11,121,56,
2025-03-27,66,ALCORCÓN,prophet_30,predicción,12.0,12,144,54,
2025-03-28,70,ALCORCÓN,prophet_30,predicción,13.0,13,169,57,
2025-03-29,64,ALCORCÓN,prophet_30,predicción,4.0,4,16,68,
2025-03-30,63,ALCORCÓN,prophet_30,predicción,4.0,4,16,59,
2025-01-01,97,ALGETE,prophet_30,real,9.0,5,25,97,97.0
2025-01-02,42,ALGETE,prophet_30,real,9.0,12,144,42,42.0
2025-01-03,69,ALGETE,prophet_30,real,9.0,6,36,69,69.0
2025-01-04,50,ALGETE,prophet_30,real,9.0,3,7,50,50.0
2025-01-05,45,ALGETE,prophet_30,real,9.0,1,1,45,45.0
2025-01-06,36,ALGETE,prophet_30,real,9.0,1,1,36,36.0
2025-01-07,33,ALGETE,prophet_30,real,9.0,4,17,33,33.0
2025-01-08,34,ALGETE,prophet_30,real,9.0,3,8,34,34.0
2025-01-09,28,ALGETE,prophet_30,real,9.0,2,4,28,28.0
2025-01-10,42,ALGETE,prophet_30,real,9.0,1,1,42,42.0
