fecha,municipio,ICA_real
2025-03-07,GUADALIX DE LA SIERRA,63.041666666666664
2025-03-01,TORREJÓN DE ARDOZ,63.041666666666664
2025-03-07,COLMENAR VIEJO,63.0
2025-03-14,SAN MARTÍN DE VALDEIGLESIAS,62.916666666666664
2025-03-10,ALCALÁ DE HENARES,62.78260869565217
2025-03-25,COLLADO VILLALBA,62.75
2025-03-16,MAJADAHONDA,62.75
2025-03-18,ARANJUEZ,62.714285714285715
2025-03-16,TORREJÓN DE ARDOZ,62.666666666666664
2025-03-16,GETAFE,62.625
2025-03-04,"ROZAS, LAS",62.608695652173914
2025-03-23,LEGANÉS,62.583333333333336
2025-03-24,SAN MARTÍN DE VALDEIGLESIAS,62.541666666666664
2025-03-08,POZUELO DE ALARCÓN,62.5
2025-03-13,ALCOBENDAS,62.5
2025-03-06,LEGANÉS,62.458333333333336
2025-03-16,"ROZAS, LAS",62.375
2025-03-16,VALDEMORO,62.375
2025-03-24,VILLA DEL PRADO,62.291666666666664
2025-03-14,COLLADO VILLALBA,62.26086956521739
2025-03-29,VALDEMORO,62.25
2025-03-02,ARGANDA DEL REY,62.166666666666664
2025-03-24,GUADALIX DE LA SIERRA,62.166666666666664
2025-03-14,POZUELO DE ALARCÓN,62.041666666666664
2025-03-19,ALCOBENDAS,62.0
2025-03-27,MAJADAHONDA,61.958333333333336
2025-03-15,ARGANDA DEL REY,61.958333333333336
2025-03-26,GETAFE,61.8
2025-03-12,COLMENAR VIEJO,61.75
2025-03-15,VILLA DEL PRADO,61.75
2025-03-23,SAN SEBASTIÁN DE LOS REYES,61.666666666666664
2025-03-30,ALCALÁ DE HENARES,61.65217391304348
2025-03-07,ARGANDA DEL REY,61.625
2025-03-23,POZUELO DE ALARCÓN,61.625
2025-03-30,GETAFE,61.541666666666664
2025-03-11,FUENLABRADA,61.5
2025-03-13,ARGANDA DEL REY,61.458333333333336
2025-03-28,ALCOBENDAS,61.458333333333336
2025-03-25,ALCOBENDAS,61.416666666666664
2025-03-02,TORREJÓN DE ARDOZ,61.291666666666664
2025-03-25,TORREJÓN DE ARDOZ,61.18181818181818
2025-03-26,MAJADAHONDA,61.166666666666664
2025-03-29,COSLADA,61.166666666666664
2025-03-18,ALCALÁ DE HENARES,61.166666666666664
2025-03-12,FUENLABRADA,61.1578947368421
2025-03-08,SAN MARTÍN DE VALDEIGLESIAS,61.083333333333336
2025-03-16,LEGANÉS,61.041666666666664
2025-03-26,"ROZAS, LAS",60.95238095238095
2025-03-09,LEGANÉS,60.875
2025-03-10,ALCORCÓN,60.85
2025-03-11,ALCORCÓN,60.833333333333336
2025-03-23,SAN MARTÍN DE VALDEIGLESIAS,60.75
2025-03-18,GUADALIX DE LA SIERRA,60.69565217391305
2025-03-12,MAJADAHONDA,60.68181818181818
2025-03-24,ARANJUEZ,60.583333333333336
2025-03-13,VILLAREJO DE SALVANÉS,60.541666666666664
2025-03-25,MAJADAHONDA,60.5
2025-03-02,ALCOBENDAS,60.458333333333336
2025-03-04,VILLA DEL PRADO,60.291666666666664
2025-03-10,MAJADAHONDA,60.208333333333336
2025-03-25,SAN MARTÍN DE VALDEIGLESIAS,60.18181818181818
2025-03-15,MÓSTOLES,60.166666666666664
2025-03-30,COSLADA,60.08695652173913
2025-03-09,SAN SEBASTIÁN DE LOS REYES,60.041666666666664
2025-03-06,GUADALIX DE LA SIERRA,60.041666666666664
2025-03-27,RIVAS-VACIAMADRID,60.041666666666664
2025-03-28,RIVAS-VACIAMADRID,60.041666666666664
2025-03-16,VILLA DEL PRADO,59.958333333333336
2025-03-10,COLLADO VILLALBA,59.916666666666664
2025-03-12,VALDEMORO,59.916666666666664
2025-03-29,LEGANÉS,59.875
2025-03-28,"ROZAS, LAS",59.75
2025-03-24,LEGANÉS,59.68421052631579
2025-03-12,PARLA,59.583333333333336
2025-03-27,ARANJUEZ,59.541666666666664
2025-03-10,PARLA,59.5
2025-03-13,TORREJÓN DE ARDOZ,59.458333333333336
2025-03-18,VILLA DEL PRADO,59.458333333333336
2025-03-27,VILLAREJO DE SALVANÉS,59.45454545454545
2025-03-13,MÓSTOLES,59.416666666666664
2025-03-15,ARANJUEZ,59.375
2025-03-26,MÓSTOLES,59.375
2025-03-30,SAN SEBASTIÁN DE LOS REYES,59.208333333333336
2025-03-10,VALDEMORO,59.208333333333336
2025-03-25,MÓSTOLES,59.166666666666664
